,clean_adm3,lat_deg,lon_deg,is_functioning,distance_to_primary,distance_to_secondary,distance_to_tertiary,distance_to_city,distance_to_town,usage_cap,staleness_score,cluster_size,is_complex_tech,is_installed_after_2006,is_public_management,served_population,local_population,crucialness,pressure,perc_hh_head_male,perc_pop612_primary,perc_pop1318_secondary,perc_pop18p_illiterate,perc_pop017_certificate,perc_pop017_both_parents,perc_pop2p_disability,perc_pop1017_married,perc_pop1217_birth,perc_pop1464_working,perc_pop10p_mobile_phone,perc_hh_temp_dwelling,perc_hh_mosquito_net,perc_hh_piped_water,perc_hh_borehole,perc_hh_toilet,perc_hh_own_house,perc_hh_own_tv,perc_hh_bank_acc,perc_hh_subs_farm,perc_hh_less2meals,perc_hh_electricity,total_fatalities_adm4,total_events_adm4,perc_local_served
0,AGAGO,2.89949841875,33.330977385000004,0.71125,42.350772793750004,2.3472403664768127,4.1840067949815,87.88008920374999,11.51085328459375,273.1875,27.62748552125,1.0825,0.79,0.66875,0.98625,181.94,706.454375,0.41083437277455,0.7759012488250001,76.38372501856708,77.58103174250192,27.457364009199974,43.289934301238425,44.12844503467789,88.55681671709841,15.92659971148565,6.7379965735626115,7.638371633273858,86.9443683139516,18.885987041985146,78.23013489339667,96.2636308778781,1.0896769270412001,71.42358819863794,52.04987177650403,90.74897748019214,2.0675038976315427,14.529398637906427,92.47211780579698,32.35699143958985,5.990993300095104,11.91375,3.41625,40.61209820443593
1,AMURIA,2.003397829287599,33.64467948812665,0.9050131926121372,15.213468445878627,3.7862225268509233,4.091741710849341,85.9294467414248,13.349826476939315,294.32717678100266,25.629469889182058,1.0211081794195251,0.9102902374670184,0.46437994722955145,1.0,266.0369393139842,512.2163588390501,0.558787724237467,0.9027493442216359,74.30086444409612,84.1169369702424,27.362241916902125,36.88981757087311,46.51586639421419,92.30919309523867,18.801396269696937,4.936164069728033,5.412789832058562,88.03692171271554,19.82801255848077,82.68101207091495,95.96397375306452,1.1461259296935464,82.17189789084978,19.319101109399487,93.54506538245555,1.3958097320210183,11.800022421672002,90.04748161412883,12.315582072526633,8.211869880667624,9.282321899736148,4.253298153034301,55.82908954870007
2,APAC MUNICIPALITY,1.9791867379061372,32.533718559566786,0.7545126353790613,36.66733998555957,1.5913992549151625,1.6266026640472924,50.06494936462094,3.2839998957184116,268.59205776173286,35.609048231046934,1.5812274368231047,0.5667870036101083,0.45126353790613716,0.6678700361010831,144.24729241877256,591.4945848375452,0.28906661788519855,0.558383876232491,79.09720776147658,76.54046900983681,21.70755859514141,27.37598575236008,28.983602859110448,90.76905123670512,26.140264527860115,8.34285070041433,7.437522262591721,81.50517679466172,22.142247526705937,73.85033750965202,96.62377462724427,0.3631331210011556,85.4886442972145,11.832281365980023,93.71531870376369,1.24311156499863,7.960358183674995,94.46657782648764,8.895063047659756,5.707706677958503,0.0,0.0,29.324995134689612
3,ARINGA,3.4585455134493666,31.250254213607594,0.930379746835443,33.18091484651899,2.4540003040232596,1.3143285801992088,13.823490634142404,31.957408204905065,282.6740506329114,27.072027928797468,1.0443037974683544,0.7990506329113924,0.4810126582278481,0.9651898734177216,368.42800632911394,1376.2784810126582,0.3751151822363924,1.4208792192579114,81.2136116954828,73.685134036957,22.745559951990874,44.71294139324565,48.99698096052086,88.2271148455323,7.320061696883223,4.187852875614617,8.55086519468025,86.63676647272099,29.89219355536626,63.6500604003942,97.24354105169859,2.4267857467443736,63.64660005357868,8.9059977193543,94.2541844467753,1.473160844529954,11.788967085473104,92.65143481812244,10.445286261792004,5.6359363489294205,0.2958860759493671,1.495253164556962,37.53942378881854
4,ARUA MUNICIPALITY,3.011681175,30.927741,0.75,1.509592286875,0.39017980575,0.72041102,2.5483151250000002,8.288292125,262.5,24.9928575,1.0,0.25,0.25,0.75,25.0,2969.5,0.034310660925,0.093666665,69.94741829537502,86.30650944920046,44.46673127658429,12.530038227534591,54.76777580358585,87.76604748828946,11.478851020298285,2.350293436709202,7.230393582081517,51.85803585850428,60.50598180153988,7.402304420395198,94.77899100845316,65.70566952027137,23.57234695525764,0.2499380821622785,35.66943950896463,45.91569482582243,72.58103160501804,6.447499057772035,6.268938782103053,56.54403704301944,0.0,0.0,2.136479469186031
5,ARUU,2.936827092369478,32.9362777690763,0.7871485943775101,6.361706111880723,6.9920669985763055,2.5253002903321287,68.0515710381526,16.644317683823292,286.8473895582329,26.722686937751003,1.2349397590361446,0.9116465863453815,0.6947791164658634,0.9578313253012049,178.95983935742973,658.4548192771084,0.49739966383895584,0.6564605100931726,73.20088851481559,80.55205698509764,28.59133394646097,40.394736526870496,38.74797929187809,87.28534864397552,18.477129149232166,8.156742924422199,13.919621177119708,83.77017158095333,22.222241171794277,79.9482310685552,94.87760316622013,4.2272837290786835,65.50032743912543,34.357037772149255,89.89017810236217,3.0280236728286125,15.430601105110785,89.57986106388229,20.660843937067384,8.080895213919986,26.55823293172691,10.504016064257028,49.35802599550568
6,ASWA,2.84391162496017,32.33161169888476,0.8645778013807753,4.572477137731811,3.71853250711163,1.2419218246627723,11.206586761072757,42.943468113648436,372.9155602761551,80.67051592936802,2.1471056824216674,0.40573552841210836,0.354753053637812,0.7987254381306426,33.99681359532661,261.2177376526819,0.15241993250695698,0.15157585415400954,69.70117615651762,85.60689616206683,25.85966526027805,35.73729453112417,42.44714761914309,88.32834278438932,13.488920456237949,10.234789928616852,9.944614079382838,78.50434866544305,29.517840966321977,78.70700192336143,93.5917404379827,5.925312656880487,38.24379262284218,8.962035322302858,88.52317538663802,3.9916893464288057,26.173447686798127,85.69997427894826,21.737076012544946,7.036702059976219,6.774827403080192,2.8162506638343068,11.42447734098765
7,AYIVU,3.037851510866575,30.89077808803301,0.8184319119669876,5.420408897742778,2.0834054728832188,1.4979643398810178,7.503205479078405,11.921189405502062,252.61348005502063,24.98255970013755,1.0137551581843192,0.2585969738651995,0.1733149931224209,0.9903713892709766,47.308115543328746,983.2434662998625,0.08417817756448417,0.1951751486943604,73.31054129807664,79.14501200857504,25.318201431770856,28.557576830882088,31.265106471520323,90.79477410733261,9.456686107654809,6.318374142453295,7.892477513313811,77.15481484652832,32.30782476321881,49.77714109569936,97.05359491194696,9.304101724547808,24.726908046325015,5.810250437833313,83.9134705968751,7.834119940569562,27.456073362621034,68.47001008439747,9.390325776036992,13.008879738887948,0.0,1.624484181568088,8.180219099979757
8,BAMUNANIKA,0.772314021300813,32.654632111788615,0.8577235772357723,15.618425876219511,7.2328118026117885,3.8240285479117886,41.522328333333334,11.739516101788617,229.77642276422765,43.41340517682927,1.4613821138211383,0.6321138211382114,0.42886178861788615,0.9898373983739838,254.0731707317073,896.6697154471544,0.40131137058739835,1.336053522296748,73.08452925372576,84.87618450159023,31.492711772603386,23.407454866265383,19.038341314835492,92.08538451616538,12.19994612217687,6.171827806981221,6.410165980607666,80.80639279700323,44.42986377476084,11.162923737248333,89.73606848474579,4.31862399820535,71.26054283850273,3.986892868630664,68.90580215775827,9.02852657638352,16.42883457765366,77.8488029334088,11.119470804789804,15.57921198343555,0.9126016260162602,1.3333333333333333,40.015533299855626
9,BBAALE,1.0191176533333333,32.86755982807018,0.8385964912280702,41.94926371578948,3.2372552222789475,9.541443995094737,70.13166599649122,26.1544653877193,267.0175438596491,28.360023266666666,1.1964912280701754,0.8350877192982457,0.3649122807017544,0.9824561403508771,336.8315789473684,841.421052631579,0.4868105529824561,1.383087718322807,76.75119559314656,84.05274755115025,25.650355208273513,33.28469438779228,13.618142470447314,93.07651351423627,11.89756315159342,7.322642572500823,8.353442860806867,83.34349774801066,34.01794911388048,25.72100223084759,92.867890813849,2.5458203201610394,57.52886980099933,12.979108852514173,76.07906550841756,4.135006062350982,10.931827569973668,83.95330059914909,8.265182119122333,8.500387228061209,0.9578947368421052,1.6070175438596492,48.582251087824815
