,clean_adm2,lat_deg,lon_deg,is_functioning,distance_to_primary,distance_to_secondary,distance_to_tertiary,distance_to_city,distance_to_town,usage_cap,staleness_score,cluster_size,is_complex_tech,is_installed_after_2006,is_public_management,served_population,local_population,crucialness,pressure,perc_hh_head_male,perc_pop612_primary,perc_pop1318_secondary,perc_pop18p_illiterate,perc_pop017_certificate,perc_pop017_both_parents,perc_pop2p_disability,perc_pop1017_married,perc_pop1217_birth,perc_pop1464_working,perc_pop10p_mobile_phone,perc_hh_temp_dwelling,perc_hh_mosquito_net,perc_hh_piped_water,perc_hh_borehole,perc_hh_toilet,perc_hh_own_house,perc_hh_own_tv,perc_hh_bank_acc,perc_hh_subs_farm,perc_hh_less2meals,perc_hh_electricity,total_fatalities_adm4,total_events_adm4,perc_local_served
10,BUDAKA,1.0718302083114446,33.98993706191369,0.8930581613508443,5.465577684590994,3.6880583021688556,1.754863938900563,21.42214438067542,6.371079345272045,272.7016885553471,26.04075327954972,1.101313320825516,0.6454033771106942,0.5928705440900562,0.9774859287054409,104.31425891181989,922.5253283302064,0.13086663877861163,0.4061682295718574,82.97387822152227,85.7851611139604,31.381597514838962,38.79758872188782,21.96286343235675,94.9470990113326,11.238229358392633,5.7811577646778805,6.498164682427675,79.9408717030052,24.556907992805208,17.865079353055485,97.86894955811968,2.1408198239543332,59.18628175691082,5.634422054973056,92.9776025952584,4.123600961599821,9.455814140654512,90.55733232182676,4.099350325909443,5.371349723158935,0.4427767354596623,0.724202626641651,13.06697511672285
11,BUDUDA,1.029427692519894,34.357834669761274,0.9482758620689655,20.029002397877985,1.8546251774755969,3.122082319333422,21.142039194960212,3.9372271936339525,244.9602122015915,26.802669319628645,1.103448275862069,0.014588859416445624,0.4535809018567639,0.993368700265252,28.925729442970823,1036.1094164456233,0.03912825245862069,0.1408390804960212,86.04401380412314,86.0969646409243,35.99731800632248,30.268898048954068,29.64399219356821,91.93315770433321,14.51606231231625,5.69910212064619,6.76603492481423,67.86140918912783,33.94894327783933,6.8793225248644205,97.24077031340539,8.436678485120487,1.8052037782491377,5.252260877643605,94.80750776903818,5.276727523641571,10.937556140351887,90.29897722514653,12.79849295447832,4.1339056284376134,0.17374005305039789,1.0517241379310345,3.262296326961904
12,BUGIRI,0.5165921739276703,33.76011046257359,0.9209419680403701,20.515364433894028,8.973516703856854,3.238861900852229,29.631478709840202,8.496210791715727,277.2497897392767,34.47809217157275,1.4751892346509672,0.68040370058873,0.3086627417998318,0.5012615643397813,160.08662741799833,958.4243061396131,0.20399268227751893,0.6121561526033642,79.67085600557769,86.33777783599166,29.371768059992448,39.370393748794484,31.892919365560463,94.12881140569242,13.574422356501634,6.923600630209074,8.73880479960425,79.28724947268009,28.724169339302712,35.113791776450434,83.5677301347463,5.238777326523905,57.09969972364277,10.350066120735363,85.25142921325893,4.0344312549349555,11.54603400047774,85.79168746783253,6.409653888093682,7.36792925396042,0.0,0.0,20.217894743155792
13,BUGWERI,0.6240830336329588,33.60345714981273,0.898876404494382,8.65614224929588,2.421962227728951,3.861401526606741,17.00045338014981,6.696356022397004,281.27340823970036,25.613664445692883,1.0411985018726593,0.8277153558052435,0.30711610486891383,0.9438202247191011,312.21535580524346,1378.3483146067415,0.2889852845468165,1.1615667909213483,78.63703517573748,85.00346812425549,33.48706110728073,38.39648491051205,18.41923761243619,95.16543292405962,13.241032220345122,6.416846203301836,9.581740421050554,74.56260556699468,30.565209784557588,14.93618942481597,95.71801075104526,3.732853030263049,77.89086495886487,5.937294113901897,85.35915078346736,4.005754894361493,9.655892879767503,84.43877829361799,6.180235838881913,7.314192431637642,0.0,0.0,28.87441103902919
14,BUHWEJU,-0.3465513456462585,30.329580482993194,0.7755102040816326,17.35192555782313,16.695352666666665,1.1712275222380952,43.06847693877551,15.365598799319729,241.49659863945578,26.170236591836733,1.0,0.013605442176870748,0.4013605442176871,0.9795918367346939,103.18367346938776,264.70068027210885,0.5422015442108843,0.9951882080408164,85.49810232505432,78.85750605235849,22.157493980244137,31.574409535768957,25.02427159941616,93.26943603157666,10.488002756143226,9.026530576722305,11.38789356780292,90.10280104212137,26.58075219980266,12.388790832131436,96.80329561048175,5.59960197086963,4.612019221709946,2.2819738393210023,93.25251011119569,2.5906015658012977,24.811957200218885,90.93955051287307,7.99893846024479,7.447056734692505,0.0,0.10884353741496598,20.063326590148577
15,BUIKWE,0.32499772216594824,33.02898725538793,0.8782327586206896,31.01853106465517,3.799619946705819,1.6133350995901186,18.599754755237072,15.841831870474138,250.70043103448276,26.93501532112069,1.1497844827586208,0.15948275862068967,0.23814655172413793,0.9762931034482759,169.52855603448276,904.3356681034483,0.20129839473872843,0.8608904459939655,72.33077874812031,84.07007456398912,37.96006513391765,24.099366563869395,29.600388796985754,91.64005044095448,12.576712532177915,6.742832796483378,7.959001934972321,70.99180673716612,44.703855422383796,5.88933440363957,89.62466359248843,12.308965262303374,16.065166808894624,4.388362917386435,64.89178217399711,13.326999351796625,18.529400265986457,64.7692211985662,11.727465462753168,18.799292395957067,0.7112068965517241,1.25,19.790346721198162
16,BUKEDEA,1.296122425,34.09720888709678,0.8763440860215054,5.62025643594086,5.716709366532259,1.9550770279301075,27.31044144892473,6.874694283548387,265.7258064516129,25.520635341397853,1.0161290322580645,0.3951612903225806,0.40860215053763443,0.9516129032258065,274.26747311827955,624.989247311828,0.4518859927379032,1.0726290329032258,78.84582019504855,87.65665820972698,29.476742293569803,38.08756932466936,13.749516911704646,93.7047148113631,10.139496582908658,4.540091916597526,4.305482428250229,73.94935041485162,24.20082118463377,53.76873631892603,96.70010270434345,3.670349621665157,49.73424998818191,17.898265502803657,92.64207022193234,3.4159303640486245,12.683049862558521,88.93953470446274,7.182503120913069,6.0647046577217125,0.6612903225806451,1.5161290322580645,45.27100608477106
17,BUKOMANSIMBI,-0.16639085731316727,31.634643635231313,0.6530249110320284,21.871108230427044,3.595900575711744,6.8860576254119215,23.343315817259786,7.427268186227758,218.50533807829183,26.52981043594306,1.00711743772242,0.22419928825622776,0.3914590747330961,0.597864768683274,158.9555160142349,527.1209964412811,0.30573326431352316,0.9297983396893238,67.51955700348323,85.67606133186699,34.00162472260509,21.71400073749329,17.369216720263886,90.92257332387575,11.26691438497578,4.723484717855449,7.763034835574152,78.69208367175972,42.30060741846766,2.286283593114839,91.82430615422149,3.751347997207763,21.823059513344376,1.81055579463526,73.6844839624279,7.254377959809264,11.632470425925328,84.3881032718772,17.771206426450533,14.563322002872468,0.7046263345195729,1.2669039145907472,29.608512325506815
18,BUKWO,1.2803331915625,34.728176396875,0.953125,1.7893511976225,4.768537592775,5.432921786031249,5.13204929658125,40.056302618749996,247.65625,26.426809540624998,1.01875,0.0,0.49375,0.965625,486.9484375,1461.88125,0.319351468653125,1.9874437614062501,85.38662460176585,90.54905471270499,44.14416081712147,28.27520687867039,13.815826502701208,94.84172887337176,10.681565372605927,6.005552161595813,8.887642730517722,74.24617756035954,24.40476661780606,44.36852806213749,95.38917144631519,24.020398194481714,2.059182161456987,9.761025568929744,89.73633491845298,2.3460959877768555,12.245243908291089,86.81050906139774,4.661457999979594,5.331574200918113,8.925,2.48125,30.192838530921087
19,BULAMBULI,1.2780970454706928,34.35015955062167,0.8756660746003553,5.641271083501066,4.508974814316163,2.169207389302664,30.289003296625225,13.718655154351687,253.99644760213144,27.61270577975133,1.0426287744227354,0.12788632326820604,0.5328596802841918,0.9928952042628775,139.3694493783304,1004.0168738898757,0.10486341259801066,0.5152563641456482,81.20718935148152,88.00631953006246,41.26435770145678,29.88957592282299,24.974796245671268,90.51315814850055,19.84889425251566,6.988886683018795,7.681571071933083,66.96305550807519,26.519166577081286,8.355332821855034,95.91321156331473,11.268782586576252,14.775165680868284,4.793514091196037,90.1931365073672,5.4850498945663935,13.553081856724745,89.06980652385408,7.300672752632093,4.818255042714184,2.124333925399645,0.7406749555950266,10.05525988635376
20,BULIISA,1.951567027131783,31.429804178294575,0.6782945736434108,36.69185787984496,11.794744614728682,1.2382902144949612,46.87609942635659,22.457552570829456,368.0232558139535,27.67639673255814,1.0852713178294573,0.5387596899224806,0.6434108527131783,0.748062015503876,610.4806201550388,1170.5019379844962,0.5100192133410854,2.4161407827131782,75.42772699042926,80.26909016019404,22.7175374787185,45.00662633846795,6.144420826038598,91.53205548974023,20.97294732128139,9.028105377510911,11.92812532523219,84.33210085951583,34.45346690445956,61.070902198377475,95.2750570723583,15.891169702791952,46.05060441625853,17.7641400989657,77.76113715927531,1.5633598912143516,9.905763685361306,80.22330611147494,7.377973942834058,7.677275212400792,0.17829457364341086,1.0,50.80007992263829
