,clean_adm4,lat_deg,lon_deg,is_functioning,distance_to_primary,distance_to_secondary,distance_to_tertiary,distance_to_city,distance_to_town,usage_cap,staleness_score,cluster_size,is_complex_tech,is_installed_after_2006,is_public_management,served_population,local_population,crucialness,pressure,perc_hh_head_male,perc_pop612_primary,perc_pop1318_secondary,perc_pop18p_illiterate,perc_pop017_certificate,perc_pop017_both_parents,perc_pop2p_disability,perc_pop1017_married,perc_pop1217_birth,perc_pop1464_working,perc_pop10p_mobile_phone,perc_hh_temp_dwelling,perc_hh_mosquito_net,perc_hh_piped_water,perc_hh_borehole,perc_hh_toilet,perc_hh_own_house,perc_hh_own_tv,perc_hh_bank_acc,perc_hh_subs_farm,perc_hh_less2meals,perc_hh_electricity,total_fatalities_adm4,total_events_adm4,perc_local_served
0,ABAKO,2.121428610280374,33.263284355140186,0.6822429906542056,22.125214878504675,4.018394028878505,0.8871196676158878,43.2628806635514,25.025293345794392,233.17757009345794,24.888723822429906,1.0,0.19626168224299065,0.42990654205607476,0.9719626168224299,154.71495327102804,576.7476635514018,0.29415374042056075,0.6937383189719626,77.18839656377162,73.63824242673353,23.234559579103124,37.155287927987175,40.63149738994616,89.2922232726376,19.016807102634715,5.219918615643881,6.676275227095236,79.94824283776562,18.22846808335731,77.41998849110115,96.15929549097785,3.7758847465987095,27.780578733199064,11.0528135147355,97.63662296025319,0.7339923548029101,9.18080069053393,93.10476797237864,11.556529244934028,3.969102716922192,0.0,0.0,29.322515915481155
1,ABANGA,2.3933366831683167,30.93795093069307,0.8316831683168316,9.778367582178218,0.5684131687277227,0.983299244990099,69.66198240594059,4.587269199009901,248.01980198019803,24.983950237623766,1.0,0.04950495049504951,0.24752475247524752,1.0,43.75247524752475,644.3366336633663,0.08098096134851486,0.19229042914851485,74.66320899335717,49.826100039743366,8.72650882870607,56.078805427809,6.268466473627434,91.90496792142169,16.344296826207913,8.435729290864701,11.352921137795947,90.32966558791802,15.834060069267018,75.58438085505026,96.23251007778345,8.282813830693236,4.249633793220916,17.929563390677338,94.744580707432,0.5767160619996594,9.267484244592062,92.56221540907283,4.859518537443933,3.1017146425935387,0.0,1.0,7.714672065332251
2,ABARILELA,1.9488005476190475,33.82191038095238,0.9682539682539683,9.344327746031745,8.008853792063492,2.7396144888396825,104.54753701587302,15.157000611111112,300.0,25.66199198412699,1.0,1.0,0.5079365079365079,1.0,241.4920634920635,516.5396825396825,0.4951097879365079,0.8049735463492064,71.65930424042816,82.32402634829147,23.73390284067517,43.35242074927954,32.76375051461507,92.36102923013586,16.989201317414572,4.838435570193495,4.807571016879374,97.28009057225196,18.22431453272952,86.79486620008234,97.9249197200494,0.0793124742692466,96.87898723754633,32.313684643886376,95.0877151090984,1.20643886372993,11.167011115685469,95.39872787155208,14.410782214903252,13.117472210786332,0.0,0.0,49.51097853231281
3,ABER,2.160800938888889,32.391310266666665,0.8777777777777778,12.535477827777777,6.409967616577777,1.4652632750666665,57.15400788888889,8.709616921333334,479.44444444444446,27.645786444444447,1.0666666666666667,0.8777777777777778,0.6777777777777778,0.7,184.32222222222222,596.8,0.3536208089111111,0.6158592585555556,75.87523227237307,76.81537193550321,22.46464964334952,37.663891386441286,39.25041958880297,91.16631001618411,12.758754420667744,10.031097524426064,10.076580950668344,80.24004975124377,23.259290894922973,63.505002097944015,94.70410897320625,0.5606066055265839,72.61302523526943,9.453134927770783,95.48070191212612,1.5039261523706766,8.704004076005514,93.71223700773244,6.93746328597974,6.639306479649942,17.0,2.0,35.36208071098334
4,ABIA,2.4274898936170213,33.11009861702128,0.7446808510638298,18.98958904255319,2.2323853949787233,3.938025284829787,31.367205361702126,25.831203297872342,277.6595744680851,25.314902042553193,1.0851063829787233,0.6170212765957447,0.6170212765957447,1.0,326.2340425531915,604.2978723404256,0.5808579117021276,1.1997588644680852,79.00178358081584,74.05884963304318,22.057539682539684,35.89011350059737,28.72166325311487,89.26670080218467,16.557974910394265,9.301314217443249,7.072217955282471,64.88908516811743,15.700878989588666,81.60485577743643,98.82147550776585,1.902671104284008,42.40643881208398,14.932744495647722,98.02444103089265,0.8114866018091825,9.33504864311316,94.9189281447346,21.12997098480969,4.331349206349207,0.0,0.0,58.08579144745315
5,ABIM,2.726717930769231,33.629977528846155,0.8173076923076923,74.67885421153846,0.47214118738942307,17.426380903846155,97.42911649999999,5.587834952884616,299.5192307692308,29.149638961538464,2.9038461538461537,0.9711538461538461,0.3173076923076923,0.7115384615384616,244.35576923076923,1026.0,0.2856940527365385,0.8522179526942307,77.72310432167168,71.09723761279088,31.161168276080414,41.74552794047807,14.537937312015195,81.62243153395599,18.24867025486781,3.1626088333069493,3.249263891087541,93.2211492797214,24.57058730410005,80.6866233971822,97.63747031818902,0.5372486940003166,96.94275763811937,43.23455754313757,90.70875415545356,2.5449897103055243,25.35869083425677,89.32798796897261,59.933211967706185,3.4040683868925123,51.0,12.0,27.399595898087714
6,ABIM TOWN COUNCIL,2.6687290287671233,33.66064952739726,0.863013698630137,78.1159423630137,0.32788386189726026,21.79849315068493,97.1370787739726,5.440885645753425,313.6986301369863,28.837840472602743,2.0821917808219177,0.952054794520548,0.1643835616438356,0.547945205479452,66.57534246575342,745.7328767123288,0.12597225266616438,0.22126483791232873,77.51266891891893,79.1626456197577,34.514445479962724,27.052912395153776,57.52427190121156,85.36600069897484,15.711323392357876,5.094052889095993,3.4850186393289846,89.12064888164026,35.577527958993485,58.46003611369991,95.49522949673812,7.720759552656105,86.73029473438956,23.532688723205965,79.88814072693383,8.96399697110904,41.0951363000932,71.38642823858342,48.74946411929171,14.961422413793104,0.0,0.0,12.319305068734238
7,ABINDU DIVISION,2.469116711111111,31.100098666666668,0.8888888888888888,1.551510478888889,6.244390844444444,0.6258599627777778,64.73465377777778,2.0017942266666666,294.44444444444446,24.96593777777778,1.0,0.8888888888888888,0.4444444444444444,1.0,232.55555555555554,865.7777777777778,0.2843471255555555,0.7751851822222222,75.12771651331039,77.22644517805716,21.27148275619864,32.65147854182763,36.71905598089485,89.45005970358925,14.359478822785698,5.600892041862752,10.841146308913396,75.77481913324436,40.41477839432465,54.87212895975276,95.7829458453326,18.69850389829318,61.75244082320714,8.574341504530448,60.07213598370444,9.64923790124324,29.617545831284684,53.19766804804383,16.337451710332232,12.741111189155015,0.0,0.0,28.409977212345073
8,ABOK,2.5490372877551017,32.56763267346939,0.7346938775510204,8.501658937979592,8.411226328571429,0.6718163687979593,38.25341426530612,29.34779393877551,264.2857142857143,24.588063163265304,1.0408163265306123,0.40816326530612246,0.5918367346938775,1.0,215.12244897959184,517.5102040816327,0.4085456487551021,0.8397006759183673,78.37181211879383,69.9293222367896,16.93023428147979,38.83563814626917,37.11954625776663,90.8483041669042,21.00469132987516,8.760086644245568,7.694180014820726,94.1622242489882,16.67772900872143,78.67124209086245,95.71790457732428,4.921809268654164,25.246913298751643,10.861198198711737,96.22484751752836,1.0174542552585075,5.765405004845237,94.45215755572022,13.166584962663173,7.062235649546828,0.0,0.0,39.96960044091158
9,ABOKE,2.3853656434782606,32.70607067826087,0.5304347826086957,4.908385768891304,2.4841252845191306,3.074873102008696,26.673672365217392,12.301698669565218,236.95652173913044,25.530217973913043,1.0869565217391304,0.41739130434782606,0.5304347826086957,0.991304347826087,351.4869565217391,828.4304347826087,0.44391638235652175,1.7400144980869567,74.89387269099568,80.37302353521702,23.170382527729505,30.90716998133488,31.13447684023085,90.09212417669649,18.59946793675313,11.82847396537298,10.270567033532856,92.76310527557872,22.431722125678494,62.09167149385338,96.92175881229753,2.8938083285061467,33.1297011435069,11.695129904958057,93.51584604492504,4.011196927763833,12.644367209456997,89.46390337044903,10.541026796249811,5.822711377142736,4.0,2.0,44.78627036653337
