,clean_adm4,perc_hh_head_male,perc_pop612_primary,perc_pop1318_secondary,perc_pop18p_illiterate,perc_pop017_certificate,perc_pop017_both_parents,perc_pop2p_disability,perc_pop1017_married,perc_pop1217_birth,perc_pop1464_working,perc_pop10p_mobile_phone,perc_hh_temp_dwelling,perc_pop_5km_dist_primary,perc_pop_5km_dist_secondary,perc_pop_5km_dist_health,perc_pop_5km_dist_police,perc_hh_mosquito_net,perc_hh_piped_water,perc_hh_borehole,perc_hh_toilet,perc_hh_own_house,perc_hh_own_tv,perc_hh_bank_acc,perc_hh_subs_farm,perc_hh_less2meals,perc_hh_electricity,tot_pop_subcounty
21,Aduku,76.88788770505666,70.81025875190258,23.046517842042956,29.230502283105025,28.0486588871977,89.67524775917471,26.305800777946896,2.5519161170302724,7.246074750549636,91.39614747167259,21.690695078640285,66.73179773380687,7.8163910028750205,62.389078302046336,57.98040250295958,35.31095213935397,97.55675291730086,0.30055132758329106,93.88899036022323,10.994388635210553,96.71002198545577,1.1578826314899375,9.33197361745307,93.47142567224759,9.283828851682733,4.119039404701505,29565.0
22,Aduku Town Council,69.5344523655217,83.34260531432275,37.75603370058328,14.23349319507453,32.762190537913156,88.13637070641607,24.160272197018795,2.7301360985093974,3.0660272197018794,89.50671419313025,40.5,41.96458846403111,5.059313026571614,8.054115359688918,13.647802981205444,10.23548930654569,95.40575502268308,21.417666882696047,70.5302138690862,2.1378094620868437,61.46746597537265,12.904316267012312,29.399598185353206,52.045482825664294,8.102397926117952,19.26746597537265,7715.0
23,Adumi,73.4521268644591,74.13199233093945,16.739557404217983,37.036574269651965,18.348077860462094,91.81757384720372,8.652240600526437,7.518168524355766,8.487703506320475,79.01012900919638,19.198888636142073,78.66208689435544,7.412761186754622,40.46370519611348,30.765628960452343,19.10102037500406,98.56858284860104,2.9315276378643618,6.786686380918338,6.19823871575732,96.6070418873688,1.1305885029083935,11.952214603711045,91.23981412276996,9.511237123452377,3.9122477496506676,30773.0
24,Adwari,74.88948297851466,75.93978220347297,19.676228784459923,32.953968409692926,45.09387815167271,87.15392916707545,24.271392131855194,5.027038163445502,5.636554498185029,98.54030216815462,18.648307662121063,84.5765721573629,12.054861179240657,95.92149514372609,58.47685666633964,58.8876680074561,99.45215343863435,0.4469537918179143,50.58573530854508,33.536348474443244,96.4917786716374,1.23611301873835,8.744883743745708,94.41112528205632,37.199725301677624,2.183380751496125,10193.0
25,Adyel Division,72.13071663791752,85.71632115414772,45.940090951858245,13.341025560608436,59.203020228947786,86.2762270660185,8.824077152265955,3.3815555904030106,4.533034342167164,59.37151011447389,54.35403167633684,8.300313627097381,1.5317014270032931,2.578262505880508,1.4603543986200407,2.1345491610475147,94.47085463384036,68.7480602164027,17.546833934451936,0.7567727771679473,33.63558726673985,34.52814489571899,47.22366943703936,16.60120746432492,8.61357378077466,44.075072918300144,31885.0
26,Agago Town Council,77.90182390979936,78.48081578511027,29.406466589288677,41.39039960205604,45.483949593765544,88.46362129000165,9.769955231304925,4.000911954899685,6.084131984745482,96.35448516000663,19.572226828055047,58.567965511523795,6.3485325816614155,15.499850771016416,14.328651964848284,15.44448681810645,96.72077599071464,0.6190184049079754,82.33651135798375,59.16556126678826,89.72667882606532,2.0437075111921734,20.803879953573205,93.80678162825402,32.56779970154203,8.125368927209419,6031.0
27,Agali,78.42556324428709,70.36433859028001,17.932507241712262,39.071214193756035,38.04780737045381,90.86537254586418,22.422171709044093,8.267931284196973,6.076243160605085,91.68537978757644,20.983802703572575,70.18880350820727,12.412089636305119,85.86989861602831,60.042593337624716,26.68563324750563,97.94248068876729,3.0014563887994843,54.497932088831675,9.875213228194399,97.54725217251368,1.2770679111683296,7.310532668168651,94.41156662375282,4.539020759575153,4.350563244287094,24856.0
28,Agikdak,81.76477732793522,79.27312292970188,27.60599006256901,24.582305852042694,49.729085388295914,91.92515642252484,22.335526315789476,6.632867132867133,14.047892896577107,92.31335112256166,22.340504232609494,68.66322230401178,15.19195804195804,87.83872837688628,57.778386087596616,81.3482057416268,98.49539013617961,0.4055668016194332,96.56563305115937,8.138986013986013,97.62616856827383,0.5834836216415163,11.523030916451969,95.41648877438351,4.8242270887007725,7.627695988222305,10868.0
29,Agoro,75.67000811907984,71.53293098782137,23.755702300405954,47.72488227334235,27.562733423545332,91.27688227334235,21.4205250338295,5.289050067658998,8.57426792963464,80.95522598105548,19.214251691474967,87.35208660351827,26.6672801082544,97.68467658998647,38.29679025710419,42.31500947225981,89.82749661705006,1.2377428958051422,55.00142354533153,48.01096617050067,92.77760757780786,0.6933531799729363,14.265304465493912,91.04849255751014,12.11553450608931,3.9743761840324763,18475.0
30,Agule,83.19827377013016,86.02863997352746,32.40574674608427,40.47834215751158,36.74557136554158,94.9868630046327,17.6758382969336,5.732213765718067,12.14725898963159,93.2602029560997,23.103259430840502,17.300380542686963,4.777073681888374,30.339719832340613,30.63069711008162,30.96425656298257,98.09457864548864,5.961570703728215,59.68136995367306,4.890839399955879,92.70550408118244,3.781149349216854,9.738815354070152,93.54210236046768,5.025512905360689,5.327123317891021,18132.0
31,Agwata,77.4107389486541,80.64308733029549,25.58405599661765,25.288199370507822,26.79888194672805,89.69231925588387,14.566425517921736,3.9949781556818715,3.0105792267581153,91.11899281251468,24.192836003194437,61.03673603607836,7.71903509184009,67.51618358622633,50.725569596467324,30.824493822520786,98.69912152957204,3.1843049748672896,87.73798562502935,6.590496547188425,91.43386104195048,2.6798045755625495,14.234044252360595,90.4696011650303,3.5629492178324798,6.713750176163855,21287.0
32,Agweng,78.12352591452752,72.64751346436316,22.37428131775897,37.766534937399456,29.708249982513813,89.89781072952367,18.539378890676367,9.017059522976847,10.902420088130377,91.57537595299713,19.41158634678604,72.53639574735959,13.235703294397426,59.964803804994055,65.40934461775198,51.288875288522064,97.630754703784,6.261911589844023,32.973861649297056,9.229215919423655,96.68450374204379,0.9195460586136952,8.953374833881234,93.34582080156676,20.150034972371827,4.721186262852347,28594.0
33,Agwingiri,78.81513336275931,74.86490951510183,23.01368308216155,29.449959013809192,52.47123399962166,90.92551863295289,22.7501544864115,7.980093322403682,8.758736364209597,86.8763288984173,27.10726401412447,65.42283246106312,18.880225739327827,60.89740210605965,70.63724698909135,70.28207327069802,96.60155116968284,0.34345797339050377,96.22951005738066,23.91446497257078,89.05649158206695,1.03180528406583,11.545690144397502,89.05045715366668,4.831017088088782,6.578271013304748,15859.0
34,Aii-Vu,79.11350982532751,81.97901945216356,24.715514589122666,32.97377183406113,29.553433902342196,91.16477024612942,11.507483128225486,5.288120285827709,5.0261661373560935,77.156433604605,19.65950277888051,28.87638944025407,5.5701766574037315,35.316392913854706,24.80488040889242,54.011981441048036,98.01806768558951,10.21193926161175,46.665105200476376,8.246047538705835,96.59478711790393,0.9153061730845573,15.420102223104406,95.09344481937276,24.583220027788805,3.365603910281858,40304.0
35,Ajia,74.26373461313013,83.57551655920281,22.73820706330598,38.281074150058615,43.39810228604924,93.33038174091442,7.730418376318874,13.208041471277841,14.197761576787807,76.77484246776085,22.709766998827668,50.87173578546307,16.474366207502932,57.50327886869871,39.479949443141855,43.3996776084408,96.08677095545134,3.573948563892145,29.625003663540443,17.406821512309495,95.29126611957795,1.409638774912075,13.55184276084408,94.23644123681126,10.159169841735054,20.59347157092614,27296.0
36,Akalo,74.34320628656488,83.23388375393776,24.532540589192372,26.42928653027313,36.839249489389694,88.64138193651124,15.879288261155535,8.130048118530826,10.647007304323743,84.36981687264168,24.006940838439437,59.62611555370928,7.993588811576141,53.61558486516426,43.46171634299166,31.828441859660057,96.23233634506872,6.048066604354901,36.28020216706477,9.121698341814657,95.60669159137329,3.4445182954270086,14.3684356284834,91.1379894069997,5.358320351715305,5.770779243258213,28887.0
37,Akeriau,81.0115906375202,85.65121951219511,26.332410205946438,40.70287481549167,44.09640120896886,92.23714064806353,34.782526182610525,5.754073241020595,4.400400646657763,87.94426091234975,19.717045055176776,88.74329092570464,20.68226611372742,93.66941730512406,58.467463274056364,47.143051943487734,96.4079567020454,1.685169044774021,58.228305334926546,11.919554368454348,97.18429043368243,0.8443663456807478,9.86463766078583,93.30674070429464,9.793062486820833,2.6470584100653687,14227.0
38,Akisim,83.48516277288395,88.56269628494829,27.343768671007275,44.3607200306396,13.143293757181155,94.76379931060896,17.56130984297204,18.54081960934508,53.85296055151283,79.13599387207967,22.18562236690923,45.76134814247415,4.8982841823056305,55.60615855993872,52.97734201455381,54.194170815779394,97.82009191880505,6.3599004212945225,61.7413711221754,6.0237916507085405,98.60441976254307,1.7753427805438529,5.755909613175028,94.93234775947911,5.086005361930295,3.120382995021065,13055.0
39,Akokoro,80.4711880506281,76.75552705943815,21.707558595141414,26.505179169338177,28.983602859110448,91.31322932250481,16.725171570373536,10.840806440122533,7.437522262591722,81.50517679466172,28.56639357887488,73.3167723397687,26.92745838379521,89.88297119517466,59.1864975897034,60.85596162522856,94.56100068865618,0.5097812922989242,85.4886442972145,24.599971503882596,84.14285341122272,1.4416684476740045,7.860701479423429,89.51702643014889,8.895063047659756,6.356738144427822,42111.0
40,Akoromit,74.28214740572568,84.24978127249571,26.22609225317016,38.81841187219669,37.35397862561604,91.13450910903151,16.756093914391716,4.6707458884766595,6.576310980674456,87.15753363973641,17.96410653967551,80.44154715100504,22.628955091644055,82.79392546652639,76.155169167728,61.92111966332577,94.03675729553132,0.13416025250567584,96.24317514812559,30.772966387950607,93.76463813057201,1.6450855529099064,12.498333241043246,88.11249792347306,17.836585635970984,5.154033999667756,18059.0
41,Akura,77.4089370316134,75.53875441467827,26.942837453699713,34.5907916271858,37.28934447411491,88.69205357911964,18.910065466448444,5.362231889051598,4.547734516323542,91.79101989835472,17.626539753639417,73.46423033853044,7.7628219484882415,69.76154707554483,66.37108708760445,35.20195537944698,98.3187483848738,1.855431131019037,42.44293220776983,12.141713325867862,96.3226462227582,0.7966190024980618,9.269299681281765,93.21240416917908,13.697428719097251,3.873158756137479,23218.0
42,Akwon,81.54490824502456,74.71257430860689,22.38353579736366,26.7794649780305,51.351641250969244,91.8450633238563,20.816425432928405,7.738239855259756,14.479284052726802,83.61437063840786,19.733820108555182,74.55772809511501,14.025665546652881,86.23560351512019,68.17862496769192,66.11491341431895,99.30608684414577,3.12907728095115,96.61296200568623,10.981558542258982,95.33750323080899,0.5871930731455156,11.037050917549754,93.57026363401395,3.8058413026621865,5.443822693202378,7738.0
43,Akworo,78.45703251231527,72.2367645320197,14.849927093596058,51.832488669950735,32.322494581280786,92.5383645320197,15.953670935960591,7.7027822660098515,9.752733004926109,87.31343448275862,20.07887684729064,81.02779113300492,5.262459113300492,37.311404926108374,29.564,37.698360591133,97.65825812807881,0.2325320197044335,67.80083546798029,21.181765517241377,95.21297733990147,0.7087684729064039,7.871806896551724,93.9024472906404,24.32815763546798,3.4446581280788178,25375.0
44,Alango,72.99234488315875,77.13902497985495,26.48470588235294,32.26228041901692,65.34635777598712,86.93192586623691,26.62067687348912,4.242232070910556,4.065745366639807,97.43913779210314,20.2909911361805,79.71908138597905,21.14908138597905,70.99021756647865,63.29095084609186,50.93983078162772,98.77716357775988,5.381192586623691,58.42772763900081,14.45543110394843,95.54359387590654,1.9452296535052378,13.64430298146656,90.63053988718775,36.42972602739726,3.588622078968574,12410.0
